News,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4
2014-Maj,0.10629255975187656,0.4087312424393585,0.14871472442108816,0.12854042082644876,0.20772105256122805
2014-CDa,0.4236393119472482,0.3788444955273407,0.0,0.09012936173233327,0.10738683079307776
2014-Gua,0.9979731324601794,0.0,0.002026867539820636,0.0,0.0
2014-CDa,0.4623128674167203,0.2206482691230537,0.007075572671409303,0.11208797832237437,0.1978753124664424
2015-Ind,0.0,0.007039771060490116,0.0,0.99296022893951,0.0
2015-Maj,0.0,1.0,0.0,0.0,0.0
2015-Gua,0.0,1.0,0.0,0.0,0.0
2015-Dai,1.0,0.0,0.0,0.0,0.0
2015-Dai,0.8358829253168585,0.0,0.035432392238410215,0.12529063813952848,0.003394044305202844
2015-Tim,0.9870341176429888,0.012965882357011346,0.0,0.0,0.0
2015-Maj,0.8960593281181176,0.07849466631548152,0.0,0.0,0.02544600556640085
2015-ajA,1.0,0.0,0.0,0.0,0.0
2015-Maj,0.0,0.0,0.0,0.0,1.0
2015-Maj,0.5184134928674476,0.09082156013512438,0.0794668300626824,0.0591406881171901,0.2521574288175555
2016-ajA,0.24034847789903635,0.3945699922355552,0.04568898238533959,0.14298717545872192,0.17640537202134696
2016-Maj,0.3981045809887095,0.038284878217852265,0.40646132461653056,0.05757098529358936,0.09957823088331844
2016-Tim,0.9241018040150836,0.0,0.07589819598491655,0.0,0.0
2016-ajA,0.8630301494459149,0.0,0.0,0.04629017750167934,0.09067967305240578
2016-NYT,0.4377120668318998,0.17827524568976366,0.08995050307943935,0.09603541448275638,0.19802676991614104
2016-ail,0.9885073455216824,0.0,0.011492654478317696,0.0,0.0
2016-ajA,0.4804504627800655,0.07510481626210924,0.10213482432044477,0.2426682389673354,0.09964165767004504
2016-Tim,0.9223320688883648,0.0,0.07466718225133552,0.0,0.003000748860299605
2016-Maj,0.2719736874868897,0.15455666275907526,0.1340243866046119,0.10094194543515712,0.33850331771426595
2016-ajA,0.3744570392533345,0.008094935199630462,0.23275347593225565,0.1816429318144068,0.20305161780037248
